Logo,Abbrev,Conf
,USAF,
,AKRN,
,BAMA,
,APST,
,ZONA,
,AZST,
,ARK,
,ARST,
,ARMY,
,AUB,
,BALL,
,BAYL,
,BOIS,
,BC,
,BGSU,
,BUFF,
,BYU,
,CAL,
,CMU,
,CHAR,
,CINC,
,CLEM,
,CCU,
,COLO,
,CSU,
,CONN,
,DUKE,
,ECU,
,EMU,
,FIU,
,FLA,
,FAU,
,FSU,
,FRES,
,UGA,
,GASO,
,GAST,
,GT,
,HAWI,
,UHOU,
,ILLI,
,IND,
,IOWA,
,IAST,
,KANS,
,KSST,
,KENT,
,UKEN,
,LU,
,ULL,
,LT,
,ULM,
,LOU,
,LSU,
,MRSH,
,UMD,
,MEMP,
,MIAF,
,MIAO,
,MICH,
,MIST,
,MTSU,
,MINN,
,MISS,
,MSST,
,MIZZ,
,NAVY,
,NCST,
,NEB,
,NEV,
,UNM,
,NMSU,
,UNC,
,UNT,
,NIU,
,NW,
,ND,
,OHIO,
,OHST,
,OKLA,
,OKST,
,ODU,
,OREG,
,ORST,
,PNST,
,PITT,
,PURD,
,RICE,
,RUTG,
,SDSU,
,SJSU,
,SMU,
,USA,
,SOCA,
,USM,
,STAN,
,CUSE,
,TCU,
,TEMP,
,TENN,
,TEX,
,TAMU,
,TXST,
,TTU,
,TLDO,
,TROY,
,TLNE,
,TULS,
,UAB,
,UCF,
,UCLA,
,MASS,
,UNLV,
,USC,
,USF,
,UTAH,
,UTST,
,UTEP,
,UTSA,
,VAND,
,UVA,
,VT,
,WAKE,
,WASH,
,WAST,
,WVU,
,WKU,
,WMU,
,WISC,
,WYOM,
