Season,Week,Home Team,Home Score,Away Team,Away Score,Neutral Site
2022,0,OKLA,40,TULS,13,FALSE
2022,0,UCLA,42,FSU,13,FALSE
2022,0,BALL,33,PURD,17,TRUE
2022,0,RUTG,50,SDSU,13,FALSE
2022,0,TXST,20,BAYL,3,FALSE
2022,0,UTAH,3,UNT,24,FALSE
2022,0,LU,35,MASS,10,FALSE
2022,0,UKEN,38,WAKE,10,FALSE
2022,0,CCU,31,ECU,14,FALSE
2022,1,CINC,30,OHIO,10,FALSE
2022,1,MIAF,7,UCF,0,FALSE
2022,1,TEMP,6,PITT,17,FALSE
2022,1,FAU,21,USF,17,FALSE
2022,1,ECU,17,NCST,21,FALSE
2022,1,MEMP,13,CMU,20,FALSE
2022,1,NAVY,17,ND,27,FALSE
2022,1,SMU,13,TCU,21,FALSE
2022,1,LSU,31,UHOU,3,FALSE
2022,1,MRSH,45,BC,0,FALSE
2022,1,CLEM,27,CCU,6,FALSE
2022,1,LOU,41,GAST,21,FALSE
2022,1,CHAR,19,DUKE,6,FALSE
2022,1,FRES,47,GT,21,FALSE
2022,1,MIZZ,41,UNC,7,FALSE
2022,1,AKRN,34,UVA,23,FALSE
2022,1,ODU,40,VT,10,FALSE
2022,1,ILLI,42,ORST,16,FALSE
2022,1,IOWA,7,FIU,13,FALSE
2022,1,MINN,3,WMU,26,FALSE
2022,1,NEB,10,NW,7,FALSE
2022,1,OKST,45,IND,16,FALSE
2022,1,UMD,23,EMU,13,FALSE
2022,1,KANS,20,MICH,17,FALSE
2022,1,OREG,23,MIST,34,FALSE
2022,1,WASH,37,OHST,7,FALSE
2022,1,UTST,26,PNST,48,FALSE
2022,1,ARST,9,KSST,16,FALSE
2022,1,TEX,28,TLDO,15,FALSE
2022,1,TTU,35,BUFF,3,FALSE
2022,1,IAST,13,AZST,0,FALSE
2022,1,WVU,20,MIAO,33,FALSE
2022,1,WKU,27,BAMA,0,FALSE
2022,1,STAN,40,MTSU,6,FALSE
2022,1,UAB,20,USA,16,FALSE
2022,1,MISS,23,USM,27,FALSE
2022,1,APST,20,UTSA,17,FALSE
2022,1,UTEP,13,UNM,10,FALSE
2022,1,ULL,27,ARMY,6,FALSE
2022,1,NEV,44,CONN,13,FALSE
2022,1,LU,13,SJSU,6,FALSE
2022,1,CAL,31,BYU,13,FALSE
2022,1,NMSU,44,USAF,16,FALSE
2022,1,HAWI,33,MASS,12,FALSE
2022,1,FLA,14,KENT,9,FALSE
2022,1,TENN,14,BGSU,10,FALSE
2022,1,TAMU,14,NIU,0,FALSE
